Services
========

 Name                            Credentials                  Command   Startup
 ----                            -----------                  -------   -------
 AGce                            LocalSystem                  Manual    C:\Windows\OliHxocT.exe
 ALG                             NT AUTHORITY\LocalService    Manual    C:\Windows\System32\alg.exe
 AWSLiteAgent                    LocalSystem                  Auto      C:\Program Files\Amazon\XenTools\LiteAgent.exe
 AeLookupSvc                     localSystem                  Manual    C:\Windows\system32\svchost.exe -k netsvcs
 AmazonSSMAgent                  LocalSystem                  Auto      "C:\Program Files\Amazon\SSM\amazon-ssm-agent.exe"
 AppIDSvc                        NT Authority\LocalService    Manual    C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation
 AppMgmt                         LocalSystem                  Manual    C:\Windows\system32\svchost.exe -k netsvcs
 Appinfo                         LocalSystem                  Manual    C:\Windows\system32\svchost.exe -k netsvcs
 AudioEndpointBuilder            LocalSystem                  Auto      C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted
 AudioSrv                        NT AUTHORITY\LocalService    Auto      C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted
 AxInstSV                        LocalSystem                  Manual    C:\Windows\system32\svchost.exe -k AxInstSVGroup
 BDESVC                          localSystem                  Manual    C:\Windows\System32\svchost.exe -k netsvcs
 BFE                             NT AUTHORITY\LocalService    Auto      C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork
 BITS                            LocalSystem                  Manual    C:\Windows\System32\svchost.exe -k netsvcs
 Browser                         LocalSystem                  Manual    C:\Windows\System32\svchost.exe -k netsvcs
 COMSysApp                       LocalSystem                  Manual    C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}
 CertPropSvc                     LocalSystem                  Manual    C:\Windows\system32\svchost.exe -k netsvcs
 CryptSvc                        NT Authority\NetworkService  Auto      C:\Windows\system32\svchost.exe -k NetworkService
 CscService                      LocalSystem                  Auto      C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted
 DPKl                            LocalSystem                  Manual    C:\Windows\yQJRJjIw.exe
 DPS                             NT AUTHORITY\LocalService    Auto      C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork
 DcomLaunch                      LocalSystem                  Auto      %SystemRoot%\system32\svchost.exe -k DcomLaunch
 Dhcp                            NT Authority\LocalService    Auto      C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted
 Dnscache                        NT AUTHORITY\NetworkService  Auto      C:\Windows\system32\svchost.exe -k NetworkService
 EFS                             LocalSystem                  Manual    C:\Windows\System32\lsass.exe
 EapHost                         localSystem                  Manual    C:\Windows\System32\svchost.exe -k netsvcs
 Ec2Config                       LocalSystem                  Auto      "C:\Program Files\Amazon\Ec2ConfigService\Ec2Config.exe"
 EventSystem                     NT AUTHORITY\LocalService    Auto      C:\Windows\system32\svchost.exe -k LocalService
 FDResPub                        NT AUTHORITY\LocalService    Manual    C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation
 Fax                             NT AUTHORITY\NetworkService  Manual    C:\Windows\system32\fxssvc.exe
 FontCache                       NT AUTHORITY\LocalService    Auto      C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation
 FontCache3.0.0.0                NT Authority\LocalService    Manual    C:\Windows\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe
 HomeGroupProvider               NT AUTHORITY\LocalService    Manual    C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted
 IKEEXT                          LocalSystem                  Auto      C:\Windows\system32\svchost.exe -k netsvcs
 IPBusEnum                       LocalSystem                  Manual    C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted
 KIFo                            LocalSystem                  Manual    C:\Windows\RTZkUBAA.exe
 KeyIso                          LocalSystem                  Manual    C:\Windows\system32\lsass.exe
 KtmRm                           NT AUTHORITY\NetworkService  Manual    C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation
 LanmanServer                    LocalSystem                  Auto      C:\Windows\system32\svchost.exe -k netsvcs
 LanmanWorkstation               NT AUTHORITY\NetworkService  Auto      C:\Windows\System32\svchost.exe -k NetworkService
 MMCSS                           LocalSystem                  Auto      C:\Windows\system32\svchost.exe -k netsvcs
 MSDTC                           NT AUTHORITY\NetworkService  Manual    C:\Windows\System32\msdtc.exe
 MSiSCSI                         LocalSystem                  Manual    C:\Windows\system32\svchost.exe -k netsvcs
 Mcx2Svc                         NT Authority\LocalService    Disabled  C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation
 MpsSvc                          NT Authority\LocalService    Auto      C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork
 NetTcpPortSharing               NT AUTHORITY\LocalService    Disabled  "C:\Windows\Microsoft.NET\Framework64\v3.0\Windows Communication Foundation\SMSvc
                                                                        Host.exe"
 Netlogon                        LocalSystem                  Manual    C:\Windows\system32\lsass.exe
 Netman                          LocalSystem                  Manual    C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted
 NlaSvc                          NT AUTHORITY\NetworkService  Auto      C:\Windows\System32\svchost.exe -k NetworkService
 PNRPAutoReg                     NT AUTHORITY\LocalService    Manual    C:\Windows\System32\svchost.exe -k LocalServicePeerNet
 PNRPsvc                         NT AUTHORITY\LocalService    Manual    C:\Windows\System32\svchost.exe -k LocalServicePeerNet
 PUeb                            LocalSystem                  Manual    C:\Windows\SSKGBZfk.exe
 PcaSvc                          LocalSystem                  Auto      C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted
 PeerDistSvc                     NT AUTHORITY\NetworkService  Manual    C:\Windows\System32\svchost.exe -k PeerDist
 PerfHost                        NT AUTHORITY\LocalService    Manual    C:\Windows\SysWow64\perfhost.exe
 PlugPlay                        LocalSystem                  Auto      C:\Windows\system32\svchost.exe -k DcomLaunch
 PolicyAgent                     NT Authority\NetworkService  Manual    C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted
 Power                           LocalSystem                  Auto      C:\Windows\system32\svchost.exe -k DcomLaunch
 ProfSvc                         LocalSystem                  Auto      C:\Windows\system32\svchost.exe -k netsvcs
 ProtectedStorage                LocalSystem                  Manual    C:\Windows\system32\lsass.exe
 PsShutdownSvc                   LocalSystem                  Manual    C:\Windows\PSSDNSVC.EXE
 QWAVE                           NT AUTHORITY\LocalService    Manual    %windir%\system32\svchost.exe -k LocalServiceAndNoImpersonation
 RasAuto                         localSystem                  Manual    C:\Windows\System32\svchost.exe -k netsvcs
 RasMan                          localSystem                  Manual    C:\Windows\System32\svchost.exe -k netsvcs
 RemoteAccess                    localSystem                  Disabled  C:\Windows\System32\svchost.exe -k netsvcs
 RemoteRegistry                  NT AUTHORITY\LocalService    Manual    C:\Windows\system32\svchost.exe -k regsvc
 RpcEptMapper                    NT AUTHORITY\NetworkService  Auto      %SystemRoot%\system32\svchost.exe -k RPCSS
 RpcLocator                      NT AUTHORITY\NetworkService  Manual    C:\Windows\system32\locator.exe
 RpcSs                           NT AUTHORITY\NetworkService  Auto      %SystemRoot%\system32\svchost.exe -k rpcss
 SCPolicySvc                     LocalSystem                  Manual    C:\Windows\system32\svchost.exe -k netsvcs
 SCardSvr                        NT AUTHORITY\LocalService    Manual    C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation
 SDRSVC                          localSystem                  Manual    C:\Windows\system32\svchost.exe -k SDRSVC
 SENS                            LocalSystem                  Auto      C:\Windows\system32\svchost.exe -k netsvcs
 SNMPTRAP                        NT AUTHORITY\LocalService    Manual    C:\Windows\System32\snmptrap.exe
 SSDPSRV                         NT AUTHORITY\LocalService    Manual    C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation
 SamSs                           LocalSystem                  Auto      C:\Windows\system32\lsass.exe
 Schedule                        LocalSystem                  Auto      C:\Windows\system32\svchost.exe -k netsvcs
 SensrSvc                        NT AUTHORITY\LocalService    Manual    C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation
 SessionEnv                      localSystem                  Manual    C:\Windows\System32\svchost.exe -k netsvcs
